radical_smiles,radical_resonance_smiles,closed_shell_smiles,closed_shell_H298 (kcal/mol),closed_shell_S298 (cal/mol/K),closed_shell_Cp300 (cal/mol/K),closed_shell_Cp400 (cal/mol/K),closed_shell_Cp500 (cal/mol/K),closed_shell_Cp600 (cal/mol/K),closed_shell_Cp800 (cal/mol/K),closed_shell_Cp1000 (cal/mol/K),closed_shell_Cp1500 (cal/mol/K),closed_shell_Sint298 (cal/mol/K),closed_shell_thermo_comment,closed_shell_thermo_source,radical_H298 (kcal/mol),radical_S298 (cal/mol/K),radical_Sint298 (cal/mol/K),radical_source,radical_level_of_theory,radical_Cp300 (cal/mol/K),radical_Cp400 (cal/mol/K),radical_Cp500 (cal/mol/K),radical_Cp600 (cal/mol/K),radical_Cp800 (cal/mol/K),radical_Cp1000 (cal/mol/K),radical_Cp1500 (cal/mol/K),radical_num_resonance,HBI_H298 (kcal/mol),HBI_Sint298 (cal/mol/K),HBI_Cp300 (cal/mol/K),HBI_Cp400 (cal/mol/K),HBI_Cp500 (cal/mol/K),HBI_Cp600 (cal/mol/K),HBI_Cp800 (cal/mol/K),HBI_Cp1000 (cal/mol/K),HBI_Cp1500 (cal/mol/K)
[O]C(=O)OC(O)(O)O,[O]C(=O)OC(O)(O)O,O=C(O)OC(O)(O)O,-272.6175908221797,98.40644810875072,31.562313575525813,36.82789674952198,41.09560229445507,44.23441682600382,48.82141491395793,51.77250478011472,56.215621414913954,100.58961759082216,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-(Cds-O2d)H) + group(Cs-OsOsOsOs) + group(Cds-OdOsOs),GAV,-223.5141258678663,93.81680413304636,95.9999736151178,dong_pio_liang.py,CBS-QB3,33.92687848517839,38.387673195041685,41.50849615107553,44.06239022036615,47.7797302404885,50.08932834244743,52.51016814199332,1,49.10346495431338,-4.589643975704362,2.3645649096525787,1.5597764455197023,0.41289385662046385,-0.1720266056376758,-1.0416846734694332,-1.6831764376672922,-3.7054532729206358
[O]C(O)(O)OC(=O)O,[O]C(O)(O)OC(=O)O,O=C(O)OC(O)(O)O,-272.6175908221797,98.40644810875072,31.562313575525813,36.82789674952198,41.09560229445507,44.23441682600382,48.82141491395793,51.77250478011472,56.215621414913954,100.58961759082216,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-(Cds-O2d)H) + group(Cs-OsOsOsOs) + group(Cds-OdOsOs),GAV,-223.4233903965532,92.78143618944574,92.78143618944574,dong_pio_liang.py,CBS-QB3,32.53117910200134,37.56965922483041,41.49844337018882,44.710459721404334,49.35598892328884,52.184758109445504,54.82137127487333,1,49.19420042562649,-7.808181401376416,0.9688655264755255,0.7417624753084269,0.40284107573374683,0.4760428954005107,0.5345740093309104,0.41225332933078107,-1.3942501400406258
O=C(O)O[C](O)O,O=C(O)O[C](O)O,O=C(O)OC(O)O,-231.3638432122371,94.12741873804973,27.2144741873805,31.965583173996176,36.0323326959847,39.30956022944551,44.059043977055445,47.14130019120459,50.45869980879541,94.12741873804973,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-(Cds-O2d)H) + group(Cs-OsOsOsH) + group(Cds-OdOsOs),GAV,-187.3228692048385,88.13964184202335,89.51706842535143,dong_pio_liang.py,CBS-QB3,28.973241937238168,34.55307336552306,38.74672126819312,41.655670532510456,45.23751466744074,47.423506719066935,49.46106903275718,1,44.0409740073986,-4.610350312698301,1.7587677498576682,2.5874901915268858,2.7143885722084207,2.346110303064947,1.1784706903852964,0.2822065278623427,-0.9976307760382284
CC(=O)OC(OO)C(=O)C(O)O[O],CC(=O)OC(OO)C(=O)C(O)O[O],CC(=O)OC(OO)C(=O)C(O)OO,-234.21931166347997,145.59854792932657,52.706615678776295,62.43877629063097,71.44250478011472,78.07036328871894,87.44336520076483,95.10307839388146,102.6799808795411,145.0268642447419,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-OsCs) + group(O2s-CsH) + group(O2s-OsH) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsCs) + group(Cds-OdCsOs),GAV,-185.66057679894064,133.20506375283605,132.63338006825137,dong_pio_liang.py,CBS-QB3,56.56970333309446,66.02822601334684,73.60374414760994,79.7728444155547,88.70551092175891,94.17490840420652,99.50377651708897,1,48.55873486453933,-12.393484176490517,3.8630876543181643,3.5894497227158695,2.1612393674952273,1.7024811268357638,1.2621457209940843,-0.9281699896749416,-3.1762043624521397
O=[C]OC(O)(O)O,O=[C]OC(O)(O)O,O=COC(O)(O)O,-216.49904397705544,92.68465078561498,26.935162523900573,30.962695984703632,34.637667304015295,37.59244741873805,42.37543021032505,45.7495602294455,50.97900573613767,94.86782026768644,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-CsH) + group(O2s-CsH) + group(O2s-CsH) + group(Cs-OsOsOsOs) + group(Cds-OdOsH),GAV,-180.4975626123791,87.84880548345505,90.0319749655265,dong_pio_liang.py,CBS-QB3,32.37819122743613,36.844343446026,39.33417925400574,41.30113044525525,44.14372585115827,45.893560408393874,47.744588615855655,1,36.00148136467632,-4.835845302159939,5.4430287035355605,5.88164746132237,4.696511949990445,3.7086830265171997,1.768295640833223,0.14400017894837447,-3.2344171202820178
CC(=O)OC(=O)[C](O)C=O,CC(=O)OC(=O)[C](O)C=O,CC(=O)OC(=O)C(O)C=O,-202.4378585086042,121.96911369781492,36.41252390057361,43.12858508604207,49.14435946462714,54.18738049713192,61.797323135755256,67.12476099426387,74.78967495219885,122.7748565965583,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-CsH) + group(Cs-CsCsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsOs) + group(Cds-OdCsOs) + group(Cds-OdCsH),GAV,-175.93390875225154,107.92518267782977,110.1083521599012,dong_pio_liang.py,CBS-QB3,36.39288808465297,43.33574889533734,49.45799283709368,54.65949825426842,62.71955694965961,68.28746995592735,75.40032786496175,3,26.503949756352654,-12.666504436657092,-0.019635815920644006,0.2071638092952668,0.31363337246653344,0.47211775713650184,0.9222338139043558,1.1627089616634834,0.6106529127629017
CC(=O)OC(=O)[C](O)C=O,CC(=O)OC([O])=C(O)C=O,CC(=O)OC(O)=C(O)C=O,-190.86874706652927,99.62750359036008,38.18521789635733,46.70073965183237,54.199504808496656,60.66649499757739,70.57969847407453,76.85868903585087,83.00998988324329,101.81067307243153,Thermo library: ../data/dong_pio_liang.py,Thermo library: ../data/dong_pio_liang.py,-175.93390875225154,107.92518267782977,110.1083521599012,dong_pio_liang.py,CBS-QB3,36.39288808465297,43.33574889533734,49.45799283709368,54.65949825426842,62.71955694965961,68.28746995592735,75.40032786496175,3,14.934838314277727,8.297679087469675,-1.792329811704363,-3.3649907564950325,-4.7415119714029785,-6.006996743308967,-7.860141524414921,-8.571219079923523,-7.60966201828154
CC(=O)OC(=O)[C](O)C=O,CC(=O)OC(=O)C(O)=C[O],CC(=O)OC(=O)C(O)=CO,-189.2564435946463,115.10505231525168,42.26627151051625,50.22455066921606,55.63778202676864,59.25172084130018,64.0589101338432,67.42575525812619,72.8306309751434,117.28822179732312,Thermo group additivity estimation: group(O2s-(Cds-O2d)(Cds-O2d)) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(Cs-(Cds-O2d)HHH) + group(Cds-Cds(Cds-O2d)O2s) + group(Cds-OdCsOs) + group(Cds-O2d(Cds-Cds)O2s) + group(Cds-CdsOsH),GAV,-175.93390875225154,107.92518267782977,110.1083521599012,dong_pio_liang.py,CBS-QB3,36.39288808465297,43.33574889533734,49.45799283709368,54.65949825426842,62.71955694965961,68.28746995592735,75.40032786496175,3,13.32253484239476,-7.179869637421916,-5.873383425863281,-6.888801773878718,-6.179789189674963,-4.592222587031756,-1.3393531841835866,0.8617146978011618,2.56969688981836
CC(=O)OC(OO)C(=O)[CH]O,CC(=O)OC(OO)C(=O)[CH]O,CC(=O)OC(OO)C(=O)CO,-201.25162523900573,127.45936226378052,44.740019120458896,53.5234034416826,61.60676864244741,67.8640535372849,76.90045889101339,83.77883365200766,91.9291395793499,128.2651051625239,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-CsH) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)OsHH) + group(Cs-(Cds-O2d)HHH) + group(Cds-OdCsCs) + group(Cds-OdCsOs),GAV,-169.4356351984317,114.08795335648254,114.89369625522592,dong_pio_liang.py,CBS-QB3,46.30162159448864,55.70343655514714,63.451970569053536,69.7363391316299,78.69751171764902,84.21375760925432,91.36048894350238,2,31.815990040574036,-13.371408907297976,1.5616024740297405,2.180033113464539,1.8452019266061228,1.8722855943450014,1.7970528266356354,0.434923957246653,-0.5686506358475185
CC(=O)OC(OO)C(=O)[CH]O,CC(=O)OC(OO)C([O])=CO,CC(=O)OC(OO)C(O)=CO,-210.2929636711281,119.895767617509,48.19474187380497,59.4597514340344,67.64240917782026,73.0699808795411,80.47334608030592,86.10577437858508,92.82973231357552,120.7015105162524,Thermo group additivity estimation: group(O2s-Cs(Cds-O2d)) + group(O2s-OsCs) + group(O2s-(Cds-Cd)H) + group(O2s-(Cds-Cd)H) + group(O2s-OsH) + group(Cs-CsOsOsH) + group(Cs-(Cds-O2d)HHH) + group(Cds-CdsCsOs) + group(Cds-OdCsOs) + group(Cds-CdsOsH),GAV,-169.4356351984317,114.08795335648254,114.89369625522592,dong_pio_liang.py,CBS-QB3,46.30162159448864,55.70343655514714,63.451970569053536,69.7363391316299,78.69751171764902,84.21375760925432,91.36048894350238,2,40.857328472696395,-5.807814261026479,-1.893120279316335,-3.7563148788872596,-4.190438608766719,-3.3336417479112015,-1.7758343626568944,-1.8920167693307661,-1.4692433700731442
